processid	sampleid	recordID	catalognum	fieldnum	institution_storing	collection_code	bin_uri	phylum_taxID	phylum_name	class_taxID	class_name	order_taxID	order_name	family_taxID	family_name	subfamily_taxID	subfamily_name	genus_taxID	genus_name	species_taxID	species_name	subspecies_taxID	subspecies_name	identification_provided_by	identification_method	identification_reference	tax_note	voucher_status	tissue_type	collection_event_id	collectors	collectiondate_start	collectiondate_end	collectiontime	collection_note	site_code	sampling_protocol	lifestage	sex	reproduction	habitat	associated_specimens	associated_taxa	extrainfo	notes	lat	lon	coord_source	coord_accuracy	elev	depth	elev_accuracy	depth_accuracy	country	province_state	region	sector	exactsite	image_ids	image_urls	media_descriptors	captions	copyright_holders	copyright_years	copyright_licenses	copyright_institutions	photographers
ABMCH045-07	HLC-16215	662964		HLC-16215	Centre for Biodiversity Genomics		BOLD:AAJ1379	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	89985	Lepus arcticus			Alex V. Borisenko		Ross, 1819		No Specimen	muscle in ethanol		A.Borisenko					BIOUG:Churchill	Hand Collection								salvaged from roadkill fragments<VERBATIM LOCALITY>East Creek||58.76|-93.953|6</VERBATIM LOCALITY>	58.76	-93.953			6				Canada	Manitoba	Churchill	13 km E Churchill, Eastern Creek										
GBAAW77203-24	PP527133	24045414	0UAG		Mined from GenBank, NCBI			18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	30347	Lepus europaeus					Pallas, 1778																												Unrecoverable													
GBAAW77205-24	PP527135	24045416	0R2U		Mined from GenBank, NCBI			18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	30347	Lepus europaeus					Pallas, 1778																												Unrecoverable													
GBCOC10024-23	OP089877	19750156					BOLD:ACQ0641	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	648690	Lepus microtis																																	Unrecoverable													
GBMA15333-17	KP735353	8456507	MVZ:16464	KP735353	Mined from GenBank, NCBI		BOLD:AAA4521	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	228603	Lepus californicus					Gray, 1837																																									
GBMA15334-17	KP735373	8456508	MVZ:15511	KP735373	Mined from GenBank, NCBI		BOLD:AAA4521	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	228603	Lepus californicus					Gray, 1837																																									
GBMA18378-19	HG763846	9785953			Mined from GenBank, NCBI		BOLD:ACH3275	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	648658	Lepus hainanus																																														
GBMA18379-19	HG763847	9785954			Mined from GenBank, NCBI		BOLD:ACQ4223	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	648657	Lepus peguensis																																														
GBMA22380-19	KP993120	9790050			Mined from GenBank, NCBI		BOLD:AAJ1379	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	708183	Lepus coreanus																																														
GBMA22403-19	KP735367	9790073			Mined from GenBank, NCBI		BOLD:AAA4521	18	Chordata	62	Mammalia	375	Lagomorpha	1552	Leporidae			3275	Lepus	228603	Lepus californicus					Gray, 1837																																									
